,str,dex,con,int,wis,cha,ac,hp,perception,fortitude,reflex,will,focus,book,level
2082,7.0,0.0,4.0,-2.0,4.0,3.0,24.0,120,16.0,18.0,10.0,16.0,0,Pathfinder Bestiary 2,8
2083,4.0,3.0,1.0,-2.0,3.0,1.0,17.0,38,7.0,7.0,11.0,9.0,0,Pathfinder Bestiary 2,2
2084,6.0,4.0,4.0,4.0,5.0,5.0,30.0,195,22.0,21.0,17.0,19.0,1,Pathfinder Bestiary 2,10
2085,4.0,0.0,3.0,-2.0,3.0,0.0,16.0,40,9.0,11.0,4.0,9.0,0,Pathfinder Bestiary 2,2
2086,6.0,4.0,6.0,2.0,3.0,4.0,27.0,165,17.0,19.0,16.0,16.0,1,Pathfinder Bestiary 2,8
2087,8.0,2.0,8.0,5.0,5.0,4.0,34.0,365,25.0,28.0,22.0,23.0,1,Pathfinder Bestiary 2,14
2088,3.0,4.0,0.0,-5.0,2.0,-5.0,19.0,50,9.0,7.0,11.0,9.0,0,Pathfinder Bestiary 2,3
2089,9.0,4.0,6.0,8.0,6.0,8.0,37.0,345,29.0,27.0,23.0,29.0,1,Pathfinder Bestiary 2,15
2090,0.0,7.0,5.0,3.0,5.0,7.0,30.0,175,20.0,16.0,22.0,18.0,1,Pathfinder Bestiary 2,10
2091,0.0,3.0,1.0,0.0,1.0,4.0,16.0,25,6.0,6.0,10.0,6.0,1,Pathfinder Bestiary 2,1
2092,7.0,6.0,6.0,6.0,10.0,7.0,46.0,375,41.0,34.0,30.0,38.0,1,Pathfinder Bestiary 2,20
2093,6.0,3.0,4.0,1.0,3.0,4.0,28.0,190,16.0,19.0,16.0,20.0,1,Pathfinder Bestiary 2,9
2094,1.0,4.0,3.0,-1.0,-1.0,1.0,18.0,34,5.0,9.0,10.0,5.0,1,Pathfinder Bestiary 2,2
2095,7.0,5.0,6.0,0.0,5.0,3.0,29.0,175,19.0,20.0,19.0,16.0,1,Pathfinder Bestiary 2,10
2074,8.0,4.0,6.0,1.0,5.0,6.0,37.0,230,26.0,27.0,25.0,26.0,1,Pathfinder Bestiary 2,15
2073,6.0,3.0,4.0,0.0,3.0,1.0,27.0,150,16.0,18.0,13.0,17.0,1,Pathfinder Bestiary 2,8
2072,6.0,4.0,8.0,4.0,6.0,8.0,37.0,280,27.0,29.0,25.0,27.0,1,Pathfinder Bestiary 2,15
2071,3.0,3.0,4.0,-4.0,1.0,-1.0,16.0,24,6.0,6.0,9.0,6.0,0,Pathfinder Bestiary 2,1
2049,2.0,4.0,4.0,5.0,4.0,6.0,26.0,130,16.0,14.0,16.0,18.0,1,Pathfinder Bestiary 2,8
2050,7.0,3.0,5.0,2.0,6.0,5.0,33.0,215,24.0,23.0,21.0,26.0,1,Pathfinder Bestiary 2,12
2051,-5.0,4.0,3.0,2.0,2.0,5.0,22.0,90,15.0,15.0,16.0,13.0,1,Pathfinder Bestiary 2,7
2052,7.0,8.0,5.0,4.0,5.0,4.0,34.0,265,24.0,22.0,25.0,24.0,1,Pathfinder Bestiary 2,13
2053,5.0,5.0,3.0,-2.0,3.0,4.0,28.0,152,18.0,20.0,18.0,16.0,0,Pathfinder Bestiary 2,9
2054,7.0,5.0,7.0,3.0,7.0,5.0,31.0,230,24.0,24.0,20.0,18.0,1,Pathfinder Bestiary 2,11
2055,11.0,7.0,10.0,4.0,9.0,8.0,49.0,500,40.0,39.0,37.0,40.0,1,Pathfinder Bestiary 2,21
2056,8.0,4.0,8.0,-1.0,6.0,4.0,35.0,360,29.0,31.0,23.0,23.0,0,Pathfinder Bestiary 2,15
2057,3.0,5.0,4.0,5.0,6.0,3.0,28.0,155,21.0,15.0,18.0,21.0,1,Pathfinder Bestiary 2,9
2058,5.0,2.0,3.0,-1.0,3.0,4.0,21.0,60,11.0,11.0,12.0,14.0,0,Pathfinder Bestiary 2,4
2096,6.0,4.0,4.0,-5.0,2.0,-4.0,23.0,70,13.0,15.0,13.0,9.0,0,Pathfinder Bestiary 2,5
2059,4.0,3.0,2.0,1.0,2.0,5.0,21.0,65,12.0,10.0,13.0,10.0,1,Pathfinder Bestiary 2,4
2061,1.0,4.0,1.0,3.0,3.0,4.0,18.0,25,11.0,8.0,11.0,10.0,1,Pathfinder Bestiary 2,2
2062,10.0,5.0,7.0,2.0,7.0,4.0,46.0,490,35.0,38.0,34.0,36.0,1,Pathfinder Bestiary 2,21
2063,6.0,2.0,4.0,0.0,2.0,4.0,21.0,85,11.0,15.0,9.0,11.0,0,Pathfinder Bestiary 2,5
2064,8.0,7.0,9.0,-3.0,5.0,5.0,40.0,315,30.0,32.0,30.0,28.0,1,Pathfinder Bestiary 2,17
2065,4.0,-1.0,4.0,-4.0,2.0,-1.0,17.0,36,6.0,10.0,5.0,8.0,0,Pathfinder Bestiary 2,2
2148,6.0,3.0,4.0,2.0,4.0,3.0,27.0,120,18.0,18.0,13.0,16.0,1,Pathfinder Bestiary 2,8
2067,2.0,4.0,4.0,1.0,4.0,3.0,24.0,100,16.0,15.0,16.0,17.0,1,Pathfinder Bestiary 2,6
2068,0.0,5.0,2.0,2.0,4.0,2.0,22.0,72,13.0,9.0,14.0,13.0,1,Pathfinder Bestiary 2,5
2069,6.0,3.0,5.0,-4.0,4.0,0.0,28.0,155,18.0,19.0,14.0,16.0,0,Pathfinder Bestiary 2,8
2070,2.0,5.0,3.0,-1.0,2.0,0.0,21.0,60,11.0,11.0,13.0,8.0,0,Pathfinder Bestiary 2,4
2060,6.0,7.0,5.0,7.0,5.0,5.0,34.0,235,24.0,22.0,26.0,24.0,1,Pathfinder Bestiary 2,13
2097,10.0,6.0,7.0,2.0,6.0,8.0,44.0,450,33.0,35.0,32.0,34.0,1,Pathfinder Bestiary 2,20
2066,3.0,4.0,2.0,-3.0,1.0,0.0,22.0,50,9.0,10.0,12.0,9.0,0,Pathfinder Bestiary 2,4
2099,3.0,1.0,2.0,-2.0,0.0,2.0,14.0,24,3.0,7.0,4.0,3.0,1,Pathfinder Bestiary 2,1
2123,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2124,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2125,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2126,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2127,6.0,4.0,6.0,2.0,3.0,3.0,28.0,200,19.0,22.0,16.0,19.0,1,Pathfinder Bestiary 2,10
2128,8.0,3.0,6.0,5.0,6.0,6.0,39.0,300,28.0,28.0,25.0,28.0,1,Pathfinder Bestiary 2,16
2129,5.0,1.0,5.0,-4.0,1.0,-1.0,22.0,73,12.0,14.0,10.0,10.0,0,Pathfinder Bestiary 2,5
2130,9.0,6.0,7.0,4.0,7.0,7.0,43.0,335,33.0,33.0,30.0,29.0,1,Pathfinder Bestiary 2,18
2131,7.0,3.0,5.0,6.0,5.0,5.0,30.0,175,21.0,19.0,19.0,21.0,1,Pathfinder Bestiary 2,10
2132,0.0,4.0,1.0,3.0,1.0,3.0,22.0,25,9.0,6.0,13.0,8.0,1,Pathfinder Bestiary 2,3
2133,7.0,6.0,5.0,-2.0,5.0,0.0,31.0,195,22.0,22.0,23.0,18.0,0,Pathfinder Bestiary 2,11
2122,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2134,9.0,6.0,5.0,6.0,5.0,0.0,40.0,300,30.0,32.0,29.0,28.0,1,Pathfinder Bestiary 2,17
2137,8.0,0.0,6.0,-5.0,4.0,4.0,35.0,325,26.0,28.0,22.0,26.0,0,Pathfinder Bestiary 2,14
2138,9.0,5.0,9.0,5.0,6.0,8.0,47.0,500,37.0,38.0,34.0,37.0,1,Pathfinder Bestiary 2,21
2139,6.0,2.0,5.0,-3.0,5.0,1.0,28.0,155,18.0,20.0,17.0,18.0,0,Pathfinder Bestiary 2,9
2140,1.0,4.0,1.0,-4.0,1.0,0.0,17.0,20,7.0,6.0,9.0,7.0,0,Pathfinder Bestiary 2,1
2141,5.0,3.0,4.0,0.0,3.0,2.0,23.0,115,14.0,14.0,13.0,17.0,0,Pathfinder Bestiary 2,6
2142,6.0,0.0,4.0,-4.0,3.0,-1.0,22.0,70,9.0,14.0,8.0,11.0,0,Pathfinder Bestiary 2,4
2143,4.0,5.0,3.0,1.0,3.0,7.0,33.0,230,22.0,21.0,25.0,21.0,1,Pathfinder Bestiary 2,12
2144,6.0,5.0,6.0,0.0,3.0,2.0,30.0,175,19.0,22.0,19.0,17.0,1,Pathfinder Bestiary 2,10
2145,5.0,2.0,4.0,0.0,2.0,1.0,24.0,94,14.0,16.0,12.0,14.0,0,Pathfinder Bestiary 2,6
2146,6.0,4.0,5.0,0.0,4.0,3.0,27.0,165,16.0,19.0,14.0,16.0,1,Pathfinder Bestiary 2,8
2098,6.0,3.0,4.0,3.0,3.0,4.0,27.0,125,17.0,18.0,15.0,15.0,1,Pathfinder Bestiary 2,8
2136,-3.0,3.0,0.0,-4.0,3.0,0.0,15.0,7,5.0,2.0,7.0,5.0,0,Pathfinder Bestiary 2,-1
2121,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2135,0.0,3.0,0.0,-4.0,4.0,0.0,19.0,30,9.0,7.0,12.0,9.0,0,Pathfinder Bestiary 2,3
2119,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2100,7.0,2.0,5.0,-4.0,3.0,0.0,21.0,75,12.0,14.0,11.0,12.0,0,Pathfinder Bestiary 2,5
2120,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2101,4.0,1.0,2.0,0.0,2.0,0.0,19.0,20,7.0,7.0,6.0,5.0,0,Pathfinder Bestiary 2,1
2102,0.0,4.0,2.0,2.0,4.0,5.0,21.0,67,15.0,9.0,15.0,13.0,1,Pathfinder Bestiary 2,5
2103,5.0,5.0,4.0,3.0,4.0,4.0,28.0,135,21.0,17.0,18.0,17.0,1,Pathfinder Bestiary 2,9
2104,4.0,3.0,4.0,-4.0,3.0,0.0,19.0,65,10.0,12.0,11.0,7.0,0,Pathfinder Bestiary 2,3
2105,7.0,3.0,5.0,-2.0,5.0,3.0,30.0,170,21.0,21.0,17.0,19.0,0,Pathfinder Bestiary 2,10
2106,4.0,3.0,2.0,0.0,5.0,3.0,21.0,60,13.0,8.0,11.0,13.0,0,Pathfinder Bestiary 2,4
2107,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2109,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2110,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2111,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2108,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2115,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2113,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2114,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2118,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2117,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2112,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
2116,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,7.0,0,Pathfinder Bestiary 2,1
1673,2.0,4.0,1.0,1.0,2.0,1.0,21.0,60,10.0,7.0,12.0,10.0,0,Pathfinder Gamemastery Guide,4
1674,5.0,0.0,2.0,0.0,3.0,3.0,24.0,95,15.0,14.0,12.0,15.0,0,Pathfinder Gamemastery Guide,6
1676,0.0,3.0,0.0,2.0,1.0,4.0,18.0,40,8.0,5.0,8.0,10.0,1,Pathfinder Gamemastery Guide,3
1678,2.0,2.0,1.0,4.0,4.0,0.0,18.0,45,14.0,8.0,9.0,9.0,1,Pathfinder Gamemastery Guide,3
1679,3.0,1.0,2.0,0.0,1.0,0.0,13.0,10,3.0,6.0,3.0,3.0,0,Pathfinder Gamemastery Guide,-1
1680,0.0,4.0,1.0,4.0,3.0,5.0,23.0,95,14.0,12.0,15.0,18.0,1,Pathfinder Gamemastery Guide,7
1683,3.0,1.0,2.0,4.0,4.0,0.0,22.0,100,15.0,13.0,12.0,15.0,1,Pathfinder Gamemastery Guide,7
1690,3.0,1.0,3.0,0.0,2.0,0.0,14.0,20,6.0,7.0,5.0,4.0,0,Pathfinder Gamemastery Guide,0
1682,1.0,3.0,1.0,0.0,0.0,4.0,16.0,20,3.0,6.0,8.0,3.0,0,Pathfinder Gamemastery Guide,1
1689,0.0,4.0,3.0,0.0,2.0,4.0,21.0,51,10.0,11.0,12.0,10.0,0,Pathfinder Gamemastery Guide,4
1688,5.0,2.0,3.0,-1.0,2.0,2.0,23.0,105,12.0,15.0,12.0,14.0,0,Pathfinder Gamemastery Guide,6
1686,3.0,2.0,4.0,-1.0,0.0,2.0,17.0,40,6.0,10.0,8.0,6.0,0,Pathfinder Gamemastery Guide,2
1685,3.0,1.0,3.0,0.0,1.0,1.0,14.0,20,3.0,7.0,5.0,3.0,0,Pathfinder Gamemastery Guide,0
1672,3.0,4.0,1.0,0.0,4.0,1.0,21.0,60,14.0,9.0,12.0,12.0,0,Pathfinder Gamemastery Guide,4
1684,2.0,2.0,0.0,4.0,2.0,4.0,19.0,56,11.0,9.0,9.0,13.0,1,Pathfinder Gamemastery Guide,5
1681,4.0,3.0,2.0,1.0,-1.0,0.0,17.0,20,4.0,7.0,8.0,4.0,0,Pathfinder Gamemastery Guide,1
1671,2.0,4.0,1.0,0.0,1.0,2.0,19.0,45,8.0,6.0,11.0,8.0,0,Pathfinder Gamemastery Guide,3
1654,0.0,2.0,0.0,3.0,2.0,1.0,14.0,8,4.0,2.0,4.0,6.0,1,Pathfinder Gamemastery Guide,-1
1669,1.0,3.0,2.0,0.0,1.0,1.0,15.0,10,3.0,4.0,7.0,3.0,0,Pathfinder Gamemastery Guide,-1
1658,1.0,2.0,1.0,3.0,0.0,0.0,15.0,8,2.0,5.0,6.0,2.0,0,Pathfinder Gamemastery Guide,-1
1657,0.0,1.0,1.0,3.0,3.0,1.0,14.0,9,5.0,8.0,3.0,5.0,0,Pathfinder Gamemastery Guide,-1
1659,2.0,4.0,1.0,0.0,3.0,0.0,19.0,30,11.0,7.0,10.0,7.0,0,Pathfinder Gamemastery Guide,2
1737,1.0,3.0,1.0,2.0,4.0,0.0,17.0,30,14.0,7.0,7.0,10.0,0,Pathfinder Gamemastery Guide,2
1738,0.0,1.0,0.0,4.0,2.0,3.0,14.0,8,6.0,2.0,3.0,9.0,0,Pathfinder Gamemastery Guide,-1
1739,0.0,0.0,-1.0,4.0,2.0,3.0,12.0,5,4.0,1.0,2.0,6.0,0,Pathfinder Gamemastery Guide,-1
1691,0.0,3.0,0.0,4.0,2.0,4.0,20.0,70,11.0,9.0,12.0,15.0,0,Pathfinder Gamemastery Guide,5
1656,4.0,1.0,3.0,0.0,1.0,3.0,25.0,75,10.0,14.0,10.0,12.0,1,Pathfinder Gamemastery Guide,5
1655,0.0,2.0,2.0,0.0,4.0,4.0,21.0,56,14.0,9.0,11.0,15.0,1,Pathfinder Gamemastery Guide,5
1653,2.0,4.0,2.0,1.0,0.0,1.0,18.0,28,6.0,8.0,12.0,4.0,0,Pathfinder Gamemastery Guide,2
1652,1.0,2.0,-1.0,2.0,4.0,1.0,15.0,16,7.0,2.0,5.0,9.0,1,Pathfinder Gamemastery Guide,1
1665,3.0,3.0,1.0,0.0,2.0,1.0,19.0,30,6.0,7.0,9.0,6.0,0,Pathfinder Gamemastery Guide,2
1666,3.0,0.0,2.0,0.0,1.0,3.0,14.0,25,6.0,7.0,3.0,6.0,0,Pathfinder Gamemastery Guide,1
1667,0.0,1.0,1.0,3.0,2.0,4.0,13.0,8,6.0,3.0,3.0,12.0,0,Pathfinder Gamemastery Guide,-1
1668,2.0,1.0,2.0,0.0,4.0,2.0,20.0,54,12.0,10.0,7.0,12.0,1,Pathfinder Gamemastery Guide,4
1670,4.0,2.0,3.0,-1.0,1.0,0.0,16.0,25,8.0,8.0,7.0,4.0,0,Pathfinder Gamemastery Guide,1
1692,4.0,4.0,2.0,2.0,-1.0,4.0,26.0,104,14.0,13.0,17.0,10.0,0,Pathfinder Gamemastery Guide,7
1721,2.0,4.0,1.0,0.0,3.0,0.0,19.0,30,9.0,7.0,10.0,7.0,0,Pathfinder Gamemastery Guide,2
1694,4.0,1.0,3.0,0.0,2.0,0.0,15.0,22,6.0,8.0,4.0,7.0,0,Pathfinder Gamemastery Guide,1
1719,2.0,3.0,1.0,0.0,2.0,2.0,18.0,32,6.0,7.0,8.0,6.0,0,Pathfinder Gamemastery Guide,2
1720,0.0,1.0,4.0,2.0,4.0,2.0,20.0,73,13.0,13.0,8.0,13.0,1,Pathfinder Gamemastery Guide,5
1722,3.0,3.0,1.0,0.0,4.0,2.0,21.0,80,14.0,11.0,11.0,14.0,1,Pathfinder Gamemastery Guide,6
1723,3.0,4.0,1.0,0.0,1.0,0.0,17.0,17,6.0,4.0,9.0,6.0,0,Pathfinder Gamemastery Guide,1
1725,2.0,1.0,0.0,1.0,3.0,4.0,17.0,24,10.0,8.0,7.0,11.0,1,Pathfinder Gamemastery Guide,2
1727,1.0,4.0,5.0,5.0,2.0,-1.0,23.0,92,10.0,17.0,14.0,10.0,0,Pathfinder Gamemastery Guide,6
1728,3.0,2.0,3.0,-1.0,2.0,0.0,19.0,30,8.0,7.0,9.0,6.0,0,Pathfinder Gamemastery Guide,2
1729,1.0,3.0,1.0,2.0,2.0,1.0,18.0,27,8.0,5.0,9.0,8.0,0,Pathfinder Gamemastery Guide,2
1741,4.0,4.0,1.0,2.0,2.0,0.0,21.0,75,13.0,10.0,15.0,11.0,0,Pathfinder Gamemastery Guide,5
1730,2.0,2.0,1.0,4.0,3.0,0.0,22.0,86,14.0,10.0,12.0,16.0,0,Pathfinder Gamemastery Guide,6
1735,0.0,4.0,1.0,2.0,4.0,4.0,23.0,90,17.0,11.0,17.0,14.0,0,Pathfinder Gamemastery Guide,6
1734,3.0,1.0,2.0,3.0,0.0,0.0,17.0,50,5.0,9.0,8.0,5.0,0,Pathfinder Gamemastery Guide,3
1733,4.0,2.0,0.0,1.0,2.0,3.0,23.0,90,12.0,12.0,12.0,14.0,0,Pathfinder Gamemastery Guide,6
1732,1.0,4.0,0.0,0.0,1.0,2.0,16.0,7,3.0,2.0,7.0,5.0,0,Pathfinder Gamemastery Guide,-1
1731,1.0,3.0,1.0,0.0,1.0,2.0,15.0,9,9.0,5.0,7.0,3.0,0,Pathfinder Gamemastery Guide,-1
1718,-1.0,1.0,1.0,4.0,2.0,2.0,13.0,9,6.0,9.0,3.0,8.0,0,Pathfinder Gamemastery Guide,-1
1715,4.0,2.0,3.0,0.0,4.0,2.0,22.0,60,15.0,13.0,8.0,10.0,0,Pathfinder Gamemastery Guide,4
1714,2.0,3.0,1.0,1.0,2.0,4.0,18.0,45,11.0,6.0,10.0,11.0,0,Pathfinder Gamemastery Guide,3
1713,2.0,3.0,2.0,4.0,3.0,-1.0,20.0,58,10.0,9.0,12.0,12.0,1,Pathfinder Gamemastery Guide,5
1695,4.0,2.0,2.0,0.0,2.0,-1.0,18.0,20,7.0,7.0,5.0,5.0,0,Pathfinder Gamemastery Guide,1
1696,4.0,1.0,2.0,1.0,3.0,0.0,21.0,60,14.0,12.0,11.0,14.0,0,Pathfinder Gamemastery Guide,4
1697,3.0,1.0,1.0,4.0,2.0,3.0,26.0,135,16.0,14.0,14.0,17.0,0,Pathfinder Gamemastery Guide,8
1698,4.0,2.0,2.0,2.0,1.0,0.0,17.0,46,6.0,8.0,9.0,8.0,0,Pathfinder Gamemastery Guide,3
1699,1.0,2.0,1.0,2.0,3.0,3.0,13.0,9,7.0,3.0,6.0,10.0,0,Pathfinder Gamemastery Guide,-1
1702,4.0,4.0,2.0,1.0,4.0,0.0,25.0,115,17.0,15.0,17.0,15.0,0,Pathfinder Gamemastery Guide,7
1703,2.0,0.0,1.0,2.0,2.0,3.0,14.0,20,7.0,6.0,3.0,9.0,0,Pathfinder Gamemastery Guide,1
1693,1.0,2.0,2.0,3.0,2.0,-1.0,17.0,18,5.0,7.0,7.0,5.0,0,Pathfinder Gamemastery Guide,1
1704,4.0,3.0,1.0,0.0,2.0,0.0,20.0,45,9.0,8.0,10.0,7.0,0,Pathfinder Gamemastery Guide,3
1706,0.0,1.0,0.0,4.0,3.0,1.0,13.0,6,7.0,2.0,3.0,7.0,0,Pathfinder Gamemastery Guide,-1
1707,0.0,2.0,1.0,4.0,1.0,1.0,17.0,31,7.0,8.0,9.0,10.0,1,Pathfinder Gamemastery Guide,3
1708,0.0,3.0,0.0,4.0,2.0,4.0,21.0,54,10.0,6.0,11.0,16.0,1,Pathfinder Gamemastery Guide,4
1709,2.0,0.0,-1.0,2.0,2.0,4.0,13.0,7,6.0,1.0,2.0,10.0,0,Pathfinder Gamemastery Guide,-1
1710,2.0,1.0,3.0,0.0,2.0,0.0,14.0,20,6.0,7.0,5.0,4.0,0,Pathfinder Gamemastery Guide,0
1711,4.0,3.0,3.0,1.0,1.0,1.0,23.0,108,13.0,15.0,11.0,13.0,0,Pathfinder Gamemastery Guide,6
1712,0.0,2.0,1.0,4.0,3.0,0.0,18.0,28,9.0,7.0,8.0,9.0,0,Pathfinder Gamemastery Guide,2
1705,0.0,-1.0,1.0,4.0,4.0,2.0,13.0,9,8.0,5.0,1.0,14.0,0,Pathfinder Gamemastery Guide,-1
1742,2.0,3.0,1.0,0.0,1.0,1.0,15.0,15,5.0,5.0,7.0,5.0,0,Pathfinder Gamemastery Guide,0
1661,0.0,1.0,2.0,4.0,3.0,0.0,15.0,23,10.0,6.0,5.0,9.0,1,Pathfinder Gamemastery Guide,2
1744,0.0,3.0,0.0,2.0,1.0,4.0,19.0,38,8.0,5.0,10.0,8.0,2,Pathfinder Gamemastery Guide,3
1745,-1.0,3.0,0.0,1.0,1.0,2.0,15.0,8,3.0,2.0,7.0,3.0,0,Pathfinder Gamemastery Guide,-1
1743,2.0,4.0,2.0,0.0,4.0,0.0,20.0,45,13.0,9.0,11.0,9.0,0,Pathfinder Gamemastery Guide,3
1660,3.0,5.0,2.0,2.0,2.0,0.0,26.0,130,16.0,12.0,19.0,14.0,0,Pathfinder Gamemastery Guide,8
1748,4.0,2.0,3.0,1.0,2.0,1.0,25.0,96,12.0,12.0,12.0,12.0,0,Pathfinder Gamemastery Guide,6
1749,4.0,1.0,3.0,0.0,1.0,1.0,20.0,45,8.0,10.0,6.0,8.0,0,Pathfinder Gamemastery Guide,3
1750,4.0,1.0,1.0,0.0,3.0,2.0,22.0,58,9.0,9.0,7.0,11.0,1,Pathfinder Gamemastery Guide,4
2800,3.0,2.0,3.0,-4.0,1.0,-2.0,18.0,30,7.0,9.0,8.0,5.0,0,Pathfinder Bestiary,2
2801,6.0,2.0,3.0,-4.0,2.0,-1.0,21.0,65,11.0,14.0,13.0,9.0,0,Pathfinder Bestiary,5
2802,6.0,3.0,4.0,-3.0,3.0,-2.0,27.0,135,15.0,16.0,17.0,15.0,0,Pathfinder Bestiary,8
2803,1.0,3.0,2.0,-4.0,1.0,-3.0,15.0,8,5.0,6.0,7.0,3.0,0,Pathfinder Bestiary,-1
2858,-1.0,4.0,0.0,1.0,2.0,2.0,17.0,15,7.0,5.0,9.0,7.0,1,Pathfinder Bestiary,1
2859,3.0,6.0,3.0,-2.0,2.0,0.0,26.0,70,16.0,14.0,18.0,11.0,0,Pathfinder Bestiary,7
2807,3.0,4.0,3.0,-4.0,1.0,-2.0,19.0,26,7.0,8.0,11.0,6.0,0,Pathfinder Bestiary,2
2805,5.0,1.0,5.0,-5.0,2.0,-1.0,22.0,55,10.0,13.0,9.0,8.0,0,Pathfinder Bestiary,4
2806,6.0,1.0,5.0,-5.0,2.0,-4.0,21.0,135,14.0,15.0,13.0,10.0,0,Pathfinder Bestiary,6
2799,5.0,3.0,3.0,-5.0,2.0,0.0,20.0,40,9.0,10.0,12.0,7.0,0,Pathfinder Bestiary,3
2808,4.0,4.0,4.0,-5.0,1.0,1.0,19.0,45,8.0,9.0,11.0,6.0,0,Pathfinder Bestiary,3
2809,2.0,3.0,4.0,-3.0,3.0,0.0,21.0,120,15.0,15.0,12.0,10.0,0,Pathfinder Bestiary,5
2810,4.0,7.0,4.0,5.0,3.0,4.0,34.0,235,21.0,22.0,25.0,19.0,0,Pathfinder Bestiary,12
2804,4.0,2.0,3.0,-5.0,2.0,-4.0,19.0,45,9.0,12.0,9.0,7.0,0,Pathfinder Bestiary,3
2798,2.0,3.0,1.0,-4.0,2.0,-2.0,16.0,20,7.0,6.0,10.0,5.0,0,Pathfinder Bestiary,1
2794,-1.0,3.0,1.0,-5.0,1.0,-4.0,15.0,8,6.0,7.0,6.0,2.0,0,Pathfinder Bestiary,-1
2796,7.0,5.0,5.0,-5.0,3.0,-2.0,29.0,185,17.0,21.0,17.0,15.0,0,Pathfinder Bestiary,10
2784,4.0,-5.0,5.0,-5.0,0.0,-5.0,10.0,90,5.0,12.0,0.0,5.0,0,Pathfinder Bestiary,3
2785,6.0,5.0,5.0,8.0,5.0,4.0,34.0,215,26.0,24.0,24.0,26.0,1,Pathfinder Bestiary,13
2786,7.0,4.0,5.0,3.0,4.0,5.0,34.0,235,25.0,26.0,20.0,23.0,1,Pathfinder Bestiary,13
2787,3.0,4.0,2.0,1.0,2.0,3.0,18.0,30,8.0,6.0,10.0,8.0,0,Pathfinder Bestiary,2
2788,-5.0,3.0,0.0,0.0,2.0,2.0,20.0,30,10.0,8.0,11.0,8.0,0,Pathfinder Bestiary,4
2789,-5.0,3.0,0.0,6.0,3.0,6.0,27.0,135,17.0,16.0,19.0,22.0,1,Pathfinder Bestiary,10
2797,5.0,1.0,4.0,-4.0,2.0,0.0,22.0,75,11.0,13.0,12.0,9.0,0,Pathfinder Bestiary,5
2856,3.0,3.0,2.0,-4.0,1.0,-2.0,16.0,20,6.0,7.0,8.0,4.0,0,Pathfinder Bestiary,1
2790,1.0,4.0,1.0,1.0,2.0,2.0,16.0,20,7.0,4.0,9.0,5.0,0,Pathfinder Bestiary,1
2791,7.0,3.0,6.0,-4.0,3.0,-2.0,25.0,175,17.0,20.0,17.0,15.0,0,Pathfinder Bestiary,8
2792,6.0,-1.0,6.0,-5.0,0.0,-5.0,26.0,100,13.0,17.0,10.0,9.0,0,Pathfinder Bestiary,7
2793,4.0,2.0,3.0,-4.0,3.0,-2.0,18.0,30,11.0,9.0,8.0,7.0,0,Pathfinder Bestiary,2
2811,7.0,2.0,7.0,3.0,3.0,7.0,34.0,280,24.0,26.0,19.0,24.0,1,Pathfinder Bestiary,13
