,str,dex,con,int,wis,cha,ac,hp,fortitude,reflex,will,num_immunities,land_speed,fly,spells_nr_lvl_1,spells_nr_lvl_2,spells_nr_lvl_3,spells_nr_lvl_4,spells_nr_lvl_5,spells_nr_lvl_6,spells_nr_lvl_7,spells_nr_lvl_8,spells_nr_lvl_9,melee_max_bonus,avg_melee_dmg,ranged_max_bonus,avg_ranged_dmg,max_spell_lvl,spell_dc,spell_attack,book,level
2115,6.0,2.0,5.0,-3.0,5.0,1.0,28.0,155,20.0,17.0,18.0,3,20.0,40,0,0,0,0,0,0,0,0,0,21,19.0,0,0.0,0,0,0,Pathfinder Bestiary 2,9
2116,1.0,4.0,1.0,-4.0,1.0,0.0,17.0,20,6.0,9.0,7.0,0,10.0,0,0,0,0,0,0,0,0,0,0,9,4.5,0,0.0,0,0,0,Pathfinder Bestiary 2,1
2118,6.0,5.0,6.0,0.0,3.0,2.0,30.0,175,22.0,19.0,17.0,1,25.0,0,0,0,1,0,1,0,0,0,0,22,28.5,0,0.0,5,29,19,Pathfinder Bestiary 2,10
2119,5.0,2.0,4.0,0.0,2.0,1.0,24.0,94,16.0,12.0,14.0,4,25.0,0,0,0,0,0,0,0,0,0,0,17,17.0,0,0.0,0,0,0,Pathfinder Bestiary 2,6
2120,6.0,4.0,5.0,0.0,4.0,3.0,27.0,165,19.0,14.0,16.0,2,35.0,50,1,1,1,2,0,0,0,0,0,20,19.0,0,0.0,4,23,15,Pathfinder Bestiary 2,8
2121,10.0,6.0,6.0,2.0,6.0,6.0,43.0,400,35.0,31.0,33.0,1,40.0,0,0,0,0,0,0,0,1,3,1,37,35.5,35,26.0,9,41,31,Pathfinder Bestiary 2,19
2122,2.0,6.0,4.0,2.0,4.0,0.0,25.0,100,16.0,18.0,14.0,2,30.0,60,2,1,1,3,0,0,0,0,0,18,18.0,0,0.0,4,25,0,Pathfinder Bestiary 2,7
2123,7.0,2.0,4.0,0.0,2.0,0.0,24.0,105,17.0,8.0,9.0,0,15.0,0,0,0,0,0,0,0,0,0,0,18,20.0,0,0.0,0,0,0,Pathfinder Bestiary 2,6
2124,6.0,2.0,4.0,-1.0,2.0,0.0,24.0,95,16.0,14.0,12.0,3,15.0,40,0,0,0,0,0,0,0,0,0,17,16.0,0,0.0,0,0,0,Pathfinder Bestiary 2,6
2125,0.0,3.0,1.0,-4.0,1.0,-2.0,16.0,15,5.0,9.0,3.0,0,15.0,0,0,0,0,0,0,0,0,0,0,7,4.5,0,0.0,0,0,0,Pathfinder Bestiary 2,0
2126,1.0,4.0,1.0,-1.0,0.0,2.0,17.0,28,7.0,10.0,6.0,2,15.0,60,0,0,0,0,0,0,0,0,0,11,7.5,0,0.0,0,0,0,Pathfinder Bestiary 2,2
2127,8.0,5.0,7.0,-3.0,6.0,7.0,38.0,295,29.0,25.0,22.0,4,35.0,100,0,0,0,0,0,1,1,0,0,31,30.0,0,0.0,7,36,26,Pathfinder Bestiary 2,15
2128,1.0,4.0,3.0,-4.0,3.0,0.0,18.0,32,7.0,10.0,7.0,1,35.0,0,0,0,0,0,0,0,0,0,0,10,7.5,10,7.0,0,0,0,Pathfinder Bestiary 2,2
2129,6.0,4.0,2.0,4.0,2.0,6.0,25.0,105,16.0,12.0,14.0,2,25.0,0,0,1,0,2,0,0,0,0,0,18,20.5,0,0.0,4,23,13,Pathfinder Bestiary 2,7
2130,6.0,4.0,2.0,1.0,6.0,2.0,22.0,80,11.0,13.0,15.0,5,15.0,30,0,0,0,0,0,0,0,0,0,15,13.0,0,0.0,0,0,0,Pathfinder Bestiary 2,5
2131,4.0,5.0,2.0,-4.0,4.0,0.0,22.0,130,10.0,17.0,14.0,0,10.0,25,0,0,0,0,0,0,0,0,0,17,15.0,0,0.0,0,0,0,Pathfinder Bestiary 2,6
2132,0.0,3.0,2.0,1.0,2.0,1.0,16.0,21,7.0,8.0,5.0,0,25.0,0,0,0,0,0,0,0,0,0,0,8,5.5,8,4.5,0,0,0,Pathfinder Bestiary 2,1
2133,3.0,0.0,5.0,-5.0,0.0,-5.0,12.0,60,11.0,3.0,4.0,4,10.0,0,0,0,0,0,0,0,0,0,0,8,7.5,0,0.0,0,0,0,Pathfinder Bestiary 2,2
2134,1.0,-1.0,4.0,-4.0,1.0,-2.0,16.0,9,8.0,1.0,3.0,0,10.0,0,0,0,0,0,0,0,0,0,0,6,4.5,0,0.0,0,0,0,Pathfinder Bestiary 2,-1
2135,10.0,6.0,8.0,5.0,9.0,10.0,49.0,500,40.0,34.0,37.0,0,35.0,100,2,2,0,1,4,1,2,2,5,44,51.5,40,38.5,10,46,36,Pathfinder Bestiary 2,21
2136,0.0,6.0,4.0,-1.0,4.0,4.0,26.0,80,13.0,19.0,15.0,6,25.0,60,0,0,0,0,0,0,0,0,0,19,17.0,0,0.0,0,0,0,Pathfinder Bestiary 2,7
2199,5.0,4.0,3.0,-5.0,0.0,-5.0,23.0,95,15.0,16.0,12.0,1,25.0,0,0,0,0,0,0,0,0,0,0,17,17.0,16,13.0,0,0,0,Pathfinder Bestiary 2,6
2114,9.0,5.0,9.0,5.0,6.0,8.0,47.0,500,38.0,34.0,37.0,6,60.0,180,0,0,0,1,0,0,0,1,0,39,42.0,0,0.0,8,44,34,Pathfinder Bestiary 2,21
2198,5.0,5.0,4.0,2.0,3.0,1.0,24.0,120,17.0,14.0,13.0,0,35.0,0,0,4,1,1,0,0,0,0,0,17,14.5,18,12.5,4,23,15,Pathfinder Bestiary 2,6
2196,3.0,3.0,1.0,4.0,3.0,5.0,22.0,110,13.0,13.0,15.0,0,25.0,0,2,1,1,3,2,0,0,0,0,16,11.5,0,0.0,5,23,13,Pathfinder Bestiary 2,6
2170,8.0,4.0,6.0,4.0,6.0,5.0,37.0,275,27.0,25.0,27.0,3,50.0,180,3,3,3,3,3,3,3,0,0,30,30.5,0,0.0,7,36,28,Pathfinder Bestiary 2,15
2169,6.0,1.0,6.0,-2.0,4.0,3.0,24.0,190,20.0,15.0,14.0,0,30.0,0,0,0,0,0,0,0,0,0,0,18,15.0,13,15.0,0,0,0,Pathfinder Bestiary 2,8
2168,2.0,4.0,2.0,0.0,2.0,1.0,19.0,50,9.0,11.0,7.0,0,25.0,0,0,0,0,0,0,0,0,0,0,11,9.5,11,7.5,0,0,0,Pathfinder Bestiary 2,3
2167,7.0,5.0,5.0,3.0,6.0,8.0,36.0,285,24.0,24.0,27.0,0,35.0,60,1,0,1,1,3,2,1,0,0,29,36.5,0,0.0,7,34,24,Pathfinder Bestiary 2,14
2166,4.0,1.0,5.0,-4.0,1.0,-2.0,17.0,65,14.0,8.0,6.0,0,35.0,0,0,0,0,0,0,0,0,0,0,11,10.5,0,0.0,0,0,0,Pathfinder Bestiary 2,3
2165,4.0,3.0,1.0,0.0,2.0,0.0,18.0,30,5.0,11.0,8.0,0,5.0,0,0,0,0,0,0,0,0,0,0,10,10.5,9,10.5,0,0,0,Pathfinder Bestiary 2,2
2164,4.0,6.0,2.0,1.0,2.0,3.0,25.0,128,15.0,17.0,13.0,5,40.0,0,0,0,0,0,0,0,0,0,0,18,16.0,0,0.0,0,0,0,Pathfinder Bestiary 2,7
2163,8.0,1.0,5.0,-5.0,5.0,-4.0,28.0,155,20.0,16.0,18.0,0,50.0,0,0,0,0,0,0,0,0,0,0,21,23.0,0,0.0,0,0,0,Pathfinder Bestiary 2,9
2162,1.0,6.0,4.0,-5.0,3.0,-5.0,28.0,130,19.0,19.0,14.0,2,25.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Pathfinder Bestiary 2,9
2171,8.0,4.0,6.0,4.0,6.0,5.0,37.0,275,27.0,25.0,27.0,3,50.0,180,0,0,0,0,0,0,3,0,0,30,30.5,0,0.0,7,36,28,Pathfinder Bestiary 2,15
2161,8.0,3.0,7.0,3.0,5.0,3.0,31.0,200,24.0,20.0,22.0,1,25.0,80,0,0,0,0,0,0,0,1,0,24,21.0,23,21.0,8,0,0,Pathfinder Bestiary 2,11
2159,4.0,4.0,3.0,3.0,5.0,3.0,25.0,125,16.0,13.0,18.0,0,25.0,25,0,0,1,8,0,0,0,0,0,17,16.5,0,0.0,4,25,17,Pathfinder Bestiary 2,7
2158,6.0,6.0,4.0,3.0,5.0,7.0,34.0,270,21.0,23.0,26.0,1,25.0,0,1,1,0,1,1,2,5,0,0,28,34.5,0,0.0,7,34,24,Pathfinder Bestiary 2,13
2157,7.0,2.0,5.0,-2.0,3.0,0.0,25.0,120,17.0,12.0,13.0,1,20.0,0,0,0,0,0,0,0,0,0,0,18,18.0,0,0.0,0,0,0,Pathfinder Bestiary 2,7
2156,4.0,1.0,3.0,-3.0,2.0,0.0,18.0,30,11.0,5.0,8.0,2,30.0,0,0,0,0,0,0,0,0,0,0,10,9.5,0,0.0,0,0,0,Pathfinder Bestiary 2,2
2155,10.0,6.0,8.0,-2.0,6.0,7.0,44.0,385,35.0,31.0,29.0,4,40.0,100,0,0,0,0,0,0,0,1,1,37,35.5,0,0.0,9,41,31,Pathfinder Bestiary 2,19
2154,7.0,1.0,5.0,1.0,4.0,2.0,32.0,230,25.0,20.0,22.0,1,30.0,0,0,0,0,0,0,0,0,0,0,26,24.0,25,26.0,0,0,0,Pathfinder Bestiary 2,12
2153,0.0,4.0,1.0,1.0,0.0,3.0,18.0,17,4.0,9.0,8.0,0,25.0,0,0,0,0,0,0,0,0,0,0,9,6.5,9,3.5,0,0,0,Pathfinder Bestiary 2,1
2152,0.0,3.0,1.0,0.0,2.0,3.0,16.0,20,4.0,10.0,7.0,0,25.0,0,0,0,0,1,0,0,0,0,0,6,4.5,6,3.5,4,17,7,Pathfinder Bestiary 2,1
2151,2.0,2.0,0.0,1.0,0.0,4.0,15.0,16,3.0,5.0,5.0,0,25.0,0,3,0,0,0,0,0,0,0,0,7,5.5,0,0.0,1,17,9,Pathfinder Bestiary 2,1
2160,9.0,5.0,9.0,-3.0,6.0,6.0,40.0,350,35.0,28.0,27.0,1,40.0,0,0,1,0,1,0,0,0,0,1,34,33.5,0,0.0,9,37,27,Pathfinder Bestiary 2,17
2172,10.0,5.0,7.0,6.0,8.0,6.0,45.0,375,35.0,33.0,38.0,3,60.0,200,3,4,3,3,3,3,4,4,4,38,40.0,0,0.0,10,42,32,Pathfinder Bestiary 2,20
2173,10.0,5.0,7.0,6.0,8.0,6.0,45.0,375,35.0,33.0,38.0,3,60.0,200,0,1,0,0,0,0,1,1,1,38,40.0,0,0.0,10,42,32,Pathfinder Bestiary 2,20
2174,7.0,3.0,5.0,3.0,5.0,3.0,31.0,195,22.0,20.0,22.0,3,40.0,140,3,3,3,4,0,0,0,0,0,24,24.0,0,0.0,4,30,20,Pathfinder Bestiary 2,11
2195,-5.0,6.0,0.0,3.0,3.0,6.0,28.0,125,15.0,21.0,18.0,7,0.0,40,4,2,2,5,5,2,0,1,0,21,21.0,21,14.0,8,28,20,Pathfinder Bestiary 2,9
2194,6.0,2.0,5.0,-3.0,5.0,1.0,28.0,155,20.0,17.0,18.0,3,20.0,40,0,0,0,0,0,0,0,0,0,21,19.0,0,0.0,0,0,0,Pathfinder Bestiary 2,9
2193,4.0,1.0,4.0,0.0,2.0,-1.0,18.0,45,10.0,5.0,8.0,0,25.0,0,0,0,0,0,0,0,0,0,0,10,8.5,7,6.5,0,0,0,Pathfinder Bestiary 2,2
2192,8.0,5.0,5.0,-3.0,5.0,0.0,30.0,170,21.0,19.0,17.0,0,20.0,0,0,0,0,0,0,0,0,0,0,24,18.0,0,0.0,0,0,0,Pathfinder Bestiary 2,10
2191,5.0,4.0,2.0,-3.0,2.0,2.0,24.0,99,14.0,16.0,12.0,5,40.0,0,0,0,0,0,0,0,0,0,0,17,15.0,0,0.0,0,0,0,Pathfinder Bestiary 2,6
2190,7.0,5.0,3.0,-2.0,3.0,5.0,30.0,190,19.0,21.0,17.0,5,40.0,0,0,0,1,0,1,0,0,0,0,23,22.0,0,0.0,5,29,19,Pathfinder Bestiary 2,10
2189,8.0,5.0,4.0,0.0,4.0,8.0,34.0,250,23.0,24.0,21.0,5,40.0,0,0,0,1,0,0,0,1,0,0,27,27.5,0,0.0,7,33,23,Pathfinder Bestiary 2,13
2188,3.0,-2.0,2.0,-5.0,0.0,-2.0,13.0,26,7.0,3.0,5.0,4,25.0,0,0,0,0,0,0,0,0,0,0,8,6.5,0,0.0,0,0,0,Pathfinder Bestiary 2,1
2187,8.0,5.0,7.0,-4.0,5.0,-3.0,33.0,270,26.0,24.0,22.0,0,20.0,0,0,0,0,0,0,0,0,0,0,27,27.5,0,0.0,0,0,0,Pathfinder Bestiary 2,13
2186,4.0,0.0,3.0,-5.0,1.0,-2.0,17.0,60,10.0,7.0,6.0,5,10.0,0,0,0,0,0,0,0,0,0,0,11,9.5,0,0.0,0,0,0,Pathfinder Bestiary 2,3
2185,1.0,4.0,2.0,1.0,1.0,0.0,16.0,24,5.0,9.0,6.0,0,20.0,0,1,0,0,0,0,0,0,0,0,11,4.5,0,0.0,1,17,7,Pathfinder Bestiary 2,1
2184,5.0,-4.0,5.0,-5.0,0.0,-5.0,12.0,157,17.0,8.0,10.0,7,15.0,0,0,0,0,0,0,0,0,0,0,15,17.5,0,0.0,0,0,0,Pathfinder Bestiary 2,6
2183,8.0,6.0,8.0,6.0,10.0,8.0,45.0,475,36.0,34.0,38.0,0,40.0,40,0,1,1,2,0,5,0,2,8,39,45.5,0,0.0,10,42,32,Pathfinder Bestiary 2,20
2182,8.0,4.0,6.0,8.0,5.0,6.0,41.0,335,31.0,25.0,32.0,0,20.0,0,0,0,0,0,1,1,2,1,2,33,32.5,33,25.0,9,41,31,Pathfinder Bestiary 2,17
2181,-5.0,5.0,3.0,-1.0,2.0,0.0,18.0,35,8.0,12.0,9.0,1,0.0,40,0,0,0,0,0,0,0,0,0,10,10.5,0,0.0,0,0,0,Pathfinder Bestiary 2,3
2180,0.0,3.0,0.0,-4.0,3.0,-2.0,16.0,15,4.0,8.0,6.0,0,0.0,0,0,0,0,0,0,0,0,0,0,7,3.5,0,0.0,0,0,0,Pathfinder Bestiary 2,0
2179,3.0,1.0,2.0,0.0,2.0,2.0,18.0,55,9.0,8.0,9.0,3,25.0,0,2,1,0,0,0,0,0,0,0,12,9.5,10,8.5,2,17,9,Pathfinder Bestiary 2,3
2178,3.0,1.0,3.0,2.0,4.0,2.0,21.0,77,11.0,10.0,15.0,3,25.0,0,5,3,1,0,0,0,0,0,0,14,12.0,0,0.0,3,23,15,Pathfinder Bestiary 2,5
2177,0.0,2.0,1.0,0.0,2.0,4.0,16.0,15,4.0,5.0,7.0,0,25.0,0,4,0,0,0,0,0,0,0,0,7,2.5,7,2.5,1,17,9,Pathfinder Bestiary 2,1
2176,8.0,3.0,7.0,-3.0,2.0,3.0,39.0,320,28.0,26.0,23.0,1,50.0,0,0,0,0,0,0,0,0,0,0,31,29.5,0,0.0,0,0,0,Pathfinder Bestiary 2,15
2175,7.0,3.0,5.0,3.0,5.0,3.0,31.0,195,22.0,20.0,22.0,3,40.0,140,0,0,0,1,0,0,0,0,0,24,24.0,0,0.0,4,30,20,Pathfinder Bestiary 2,11
2197,3.0,3.0,3.0,-4.0,0.0,-2.0,18.0,34,9.0,7.0,6.0,0,25.0,0,0,0,0,0,0,0,0,0,0,11,8.5,0,0.0,0,0,0,Pathfinder Bestiary 2,2
2113,8.0,0.0,6.0,-5.0,4.0,4.0,35.0,325,28.0,22.0,26.0,5,60.0,180,0,0,0,0,0,0,0,0,0,30,30.5,0,0.0,0,0,0,Pathfinder Bestiary 2,14
2117,4.0,5.0,3.0,1.0,3.0,7.0,33.0,230,21.0,25.0,21.0,0,25.0,0,0,2,0,0,2,1,0,0,0,24,23.5,0,0.0,6,35,25,Pathfinder Bestiary 2,12
2111,0.0,3.0,0.0,-4.0,4.0,0.0,19.0,30,7.0,12.0,9.0,2,10.0,40,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Pathfinder Bestiary 2,3
2041,3.0,4.0,2.0,-3.0,1.0,0.0,22.0,50,10.0,12.0,9.0,5,0.0,50,0,0,0,0,0,0,0,0,0,14,13.0,14,13.0,0,0,0,Pathfinder Bestiary 2,4
2042,2.0,4.0,4.0,1.0,4.0,3.0,24.0,100,15.0,16.0,17.0,0,25.0,0,5,4,2,0,0,0,0,0,0,16,15.0,0,0.0,3,24,16,Pathfinder Bestiary 2,6
2043,0.0,5.0,2.0,2.0,4.0,2.0,22.0,72,9.0,14.0,13.0,1,25.0,25,2,0,2,1,0,0,0,0,0,14,9.0,14,7.0,4,22,14,Pathfinder Bestiary 2,5
2044,8.0,2.0,5.0,2.0,4.0,4.0,34.0,270,26.0,21.0,23.0,3,40.0,140,3,3,3,3,3,4,0,0,0,27,28.5,0,0.0,6,31,23,Pathfinder Bestiary 2,13
2045,8.0,2.0,5.0,2.0,4.0,4.0,34.0,270,26.0,21.0,23.0,3,40.0,140,0,0,0,0,0,2,0,0,0,27,28.5,0,0.0,6,31,23,Pathfinder Bestiary 2,13
2046,8.0,4.0,6.0,4.0,5.0,6.0,42.0,390,34.0,30.0,31.0,3,50.0,200,3,3,3,4,3,3,3,6,0,36,32.5,0,0.0,8,40,32,Pathfinder Bestiary 2,18
2047,8.0,4.0,6.0,4.0,5.0,6.0,42.0,390,34.0,30.0,31.0,3,50.0,200,0,0,0,1,0,0,0,3,0,36,32.5,0,0.0,8,40,32,Pathfinder Bestiary 2,18
2048,6.0,1.0,4.0,0.0,3.0,3.0,28.0,175,19.0,16.0,18.0,3,30.0,100,3,3,3,3,0,0,0,0,0,21,21.0,0,0.0,4,26,18,Pathfinder Bestiary 2,9
2049,6.0,1.0,4.0,0.0,3.0,3.0,28.0,175,19.0,16.0,18.0,3,30.0,100,0,0,0,1,0,0,0,0,0,21,21.0,0,0.0,4,26,18,Pathfinder Bestiary 2,9
2050,6.0,3.0,5.0,-4.0,4.0,0.0,28.0,155,19.0,14.0,16.0,5,40.0,0,0,0,0,0,0,0,0,0,0,20,18.0,17,16.0,0,0,0,Pathfinder Bestiary 2,8
2051,2.0,5.0,3.0,-1.0,2.0,0.0,21.0,60,11.0,13.0,8.0,0,30.0,0,0,0,0,0,0,0,0,0,0,14,9.0,0,0.0,0,0,0,Pathfinder Bestiary 2,4
2052,3.0,3.0,4.0,-4.0,1.0,-1.0,16.0,24,6.0,9.0,6.0,0,0.0,0,0,0,0,0,0,0,0,0,0,8,7.5,0,0.0,0,0,0,Pathfinder Bestiary 2,1
2053,6.0,4.0,8.0,4.0,6.0,8.0,37.0,280,29.0,25.0,27.0,1,30.0,30,0,0,1,1,1,1,2,2,0,29,38.5,29,28.0,8,36,28,Pathfinder Bestiary 2,15
2054,8.0,4.0,6.0,1.0,5.0,6.0,37.0,230,27.0,25.0,26.0,5,25.0,0,1,0,1,1,2,0,3,5,0,30,28.0,0,0.0,8,37,27,Pathfinder Bestiary 2,15
2055,8.0,0.0,5.0,-4.0,2.0,-2.0,26.0,175,20.0,13.0,17.0,0,45.0,0,0,0,0,0,0,0,0,0,0,21,23.0,0,0.0,0,0,0,Pathfinder Bestiary 2,9
2056,7.0,2.0,4.0,-4.0,2.0,-2.0,25.0,125,17.0,15.0,13.0,0,25.0,0,0,0,0,0,0,0,0,0,0,18,20.0,0,0.0,0,0,0,Pathfinder Bestiary 2,7
2057,7.0,5.0,6.0,3.0,4.0,6.0,31.0,225,23.0,20.0,19.0,1,25.0,50,1,0,0,2,3,1,0,0,0,24,25.5,0,0.0,6,31,21,Pathfinder Bestiary 2,11
2058,4.0,6.0,2.0,2.0,5.0,6.0,30.0,170,16.0,22.0,19.0,4,0.0,100,0,0,0,0,0,0,0,0,0,23,21.0,23,19.0,0,0,0,Pathfinder Bestiary 2,10
2112,-3.0,3.0,0.0,-4.0,3.0,0.0,15.0,7,2.0,7.0,5.0,0,10.0,40,0,0,0,0,0,0,0,0,0,7,3.5,0,0.0,0,0,0,Pathfinder Bestiary 2,-1
2060,6.0,4.0,4.0,1.0,3.0,5.0,28.0,120,18.0,16.0,13.0,5,25.0,0,0,0,0,0,0,0,0,0,0,20,0.0,0,0.0,0,0,0,Pathfinder Bestiary 2,8
2061,7.0,4.0,5.0,4.0,4.0,5.0,33.0,245,24.0,21.0,20.0,1,30.0,60,3,1,0,2,3,3,0,0,0,28,25.5,0,0.0,6,31,21,Pathfinder Bestiary 2,12
2040,4.0,-1.0,4.0,-4.0,2.0,-1.0,17.0,36,10.0,5.0,8.0,4,20.0,0,0,0,0,0,0,0,0,0,0,10,10.5,0,0.0,0,0,0,Pathfinder Bestiary 2,2
2062,7.0,0.0,4.0,-2.0,4.0,3.0,24.0,120,18.0,10.0,16.0,1,20.0,0,0,0,0,0,0,0,0,0,0,20,19.0,0,0.0,0,0,0,Pathfinder Bestiary 2,8
2039,8.0,7.0,9.0,-3.0,5.0,5.0,40.0,315,32.0,30.0,28.0,0,50.0,0,0,0,0,0,0,0,1,0,1,33,35.5,0,0.0,9,38,28,Pathfinder Bestiary 2,17
2037,10.0,5.0,7.0,2.0,7.0,4.0,46.0,490,38.0,34.0,36.0,4,50.0,0,0,0,0,0,0,0,1,1,2,40,51.0,39,39.0,10,46,36,Pathfinder Bestiary 2,21
2016,4.0,2.0,4.0,0.0,3.0,2.0,22.0,70,14.0,8.0,11.0,0,35.0,0,0,0,0,1,1,0,0,0,0,14,13.0,0,0.0,5,19,9,Pathfinder Bestiary 2,4
2017,4.0,6.0,2.0,6.0,4.0,2.0,25.0,90,13.0,17.0,15.0,2,30.0,30,0,1,2,1,0,0,0,1,0,17,16.0,0,0.0,8,21,11,Pathfinder Bestiary 2,7
2018,5.0,0.0,4.0,-5.0,0.0,-5.0,21.0,80,15.0,11.0,9.0,3,25.0,0,0,0,0,0,0,0,0,0,0,15,17.5,0,0.0,0,0,0,Pathfinder Bestiary 2,5
2019,0.0,4.0,0.0,-2.0,0.0,2.0,17.0,18,5.0,9.0,3.0,5,20.0,25,0,0,0,0,0,0,0,0,0,9,5.0,0,0.0,0,17,9,Pathfinder Bestiary 2,1
2020,7.0,7.0,5.0,-1.0,5.0,3.0,30.0,185,20.0,21.0,17.0,5,25.0,0,0,0,0,0,0,0,0,0,0,23,23.5,23,20.0,0,0,0,Pathfinder Bestiary 2,10
2021,1.0,3.0,2.0,-4.0,1.0,0.0,18.0,35,8.0,9.0,5.0,5,25.0,0,0,0,0,0,0,0,0,0,0,9,8.0,0,0.0,0,0,0,Pathfinder Bestiary 2,2
2022,0.0,3.0,2.0,3.0,0.0,1.0,18.0,18,5.0,6.0,3.0,0,25.0,0,0,0,0,0,0,0,0,0,0,8,2.5,8,6.5,0,16,8,Pathfinder Bestiary 2,1
2023,7.0,4.0,4.0,-4.0,4.0,0.0,24.0,95,16.0,12.0,14.0,0,25.0,0,0,0,0,0,0,0,0,0,0,17,18.0,0,0.0,0,0,0,Pathfinder Bestiary 2,6
2024,7.0,5.0,5.0,7.0,3.0,5.0,30.0,175,21.0,19.0,17.0,0,25.0,25,1,0,4,5,4,0,0,0,0,23,25.5,0,0.0,5,29,19,Pathfinder Bestiary 2,10
2025,2.0,4.0,4.0,5.0,4.0,6.0,26.0,130,14.0,16.0,18.0,4,35.0,0,1,3,0,2,0,0,0,0,0,18,16.0,0,0.0,4,27,19,Pathfinder Bestiary 2,8
2026,7.0,3.0,5.0,2.0,6.0,5.0,33.0,215,23.0,21.0,26.0,1,40.0,0,1,0,0,1,1,0,1,0,0,25,36.5,0,0.0,7,33,23,Pathfinder Bestiary 2,12
2027,-5.0,4.0,3.0,2.0,2.0,5.0,22.0,90,15.0,16.0,13.0,3,0.0,30,1,0,1,2,2,0,1,0,0,13,16.0,0,0.0,7,26,16,Pathfinder Bestiary 2,7
2028,7.0,8.0,5.0,4.0,5.0,4.0,34.0,265,22.0,25.0,24.0,0,30.0,0,0,0,0,2,0,1,0,0,0,26,29.5,0,0.0,6,31,21,Pathfinder Bestiary 2,13
2029,7.0,5.0,7.0,3.0,7.0,5.0,31.0,230,24.0,20.0,18.0,1,25.0,0,0,0,0,1,4,1,0,0,0,22,24.0,0,0.0,6,30,22,Pathfinder Bestiary 2,11
2030,11.0,7.0,10.0,4.0,9.0,8.0,49.0,500,39.0,37.0,40.0,2,35.0,60,0,0,0,0,0,0,0,0,0,42,41.0,42,49.0,10,43,33,Pathfinder Bestiary 2,21
2031,8.0,4.0,8.0,-1.0,6.0,4.0,35.0,360,31.0,23.0,23.0,0,30.0,0,0,0,0,0,0,0,0,0,0,29,30.5,30,27.0,0,0,0,Pathfinder Bestiary 2,15
2032,3.0,5.0,4.0,5.0,6.0,3.0,28.0,155,15.0,18.0,21.0,3,25.0,60,2,1,1,1,2,0,0,0,0,21,18.5,0,0.0,5,28,20,Pathfinder Bestiary 2,9
2033,5.0,2.0,3.0,-1.0,3.0,4.0,21.0,60,11.0,12.0,14.0,0,35.0,0,0,0,0,0,0,0,0,0,0,13,14.0,0,0.0,0,0,0,Pathfinder Bestiary 2,4
2034,4.0,3.0,2.0,1.0,2.0,5.0,21.0,65,10.0,13.0,10.0,0,25.0,0,0,0,0,2,0,1,0,0,0,14,14.0,14,10.5,6,21,11,Pathfinder Bestiary 2,4
2035,6.0,7.0,5.0,7.0,5.0,5.0,34.0,235,22.0,26.0,24.0,2,40.0,0,0,0,0,2,0,2,5,0,0,27,27.5,28,21.0,7,33,23,Pathfinder Bestiary 2,13
2036,1.0,4.0,1.0,3.0,3.0,4.0,18.0,25,8.0,11.0,10.0,0,30.0,0,3,3,0,0,0,0,0,0,0,7,6.5,0,0.0,2,18,10,Pathfinder Bestiary 2,2
2038,6.0,2.0,4.0,0.0,2.0,4.0,21.0,85,15.0,9.0,11.0,0,50.0,0,0,0,0,0,0,0,0,0,0,15,17.0,0,0.0,0,0,0,Pathfinder Bestiary 2,5
2063,4.0,3.0,1.0,-2.0,3.0,1.0,17.0,38,7.0,11.0,9.0,0,30.0,0,0,0,0,0,0,0,0,0,0,9,6.5,8,7.5,0,0,0,Pathfinder Bestiary 2,2
2059,4.0,4.0,2.0,1.0,5.0,0.0,20.0,58,10.0,12.0,11.0,4,20.0,0,0,0,0,0,0,0,0,0,0,14,13.0,0,0.0,0,0,0,Pathfinder Bestiary 2,4
2065,4.0,0.0,3.0,-2.0,3.0,0.0,16.0,40,11.0,4.0,9.0,5,20.0,0,0,0,0,0,0,0,0,0,0,10,8.5,0,0.0,0,0,0,Pathfinder Bestiary 2,2
2091,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,2,25.0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,Pathfinder Bestiary 2,1
2092,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,0,25.0,20,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,Pathfinder Bestiary 2,1
2064,6.0,4.0,4.0,4.0,5.0,5.0,30.0,195,21.0,17.0,19.0,1,30.0,40,3,1,0,2,4,1,0,0,0,23,21.5,0,0.0,6,29,19,Pathfinder Bestiary 2,10
2094,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,2,25.0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,Pathfinder Bestiary 2,1
2095,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,0,25.0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,Pathfinder Bestiary 2,1
2096,2.0,2.0,2.0,2.0,2.0,2.0,15.0,22,7.0,7.0,7.0,0,35.0,0,0,0,0,0,0,0,0,0,0,7,6.5,0,0.0,0,0,0,Pathfinder Bestiary 2,1
